B827EBAC11E5	CDC-001
B827EBCAA466	CDC-002
B827EBF8693F	CDC-003
B827EB05D4C0	CDC-004
B827EBB576D8	CDC-005
B827EB9BC528	CDC-006
B827EB669513	CDC-007
B827EB0DFEA9	CDC-008
B827EBB77CA0	CDC-009
B827EB2C009D	CDC-010
B827EB2C353B	CDC-011
B827EB1B76EC	CDC-012
B827EB8390F7	CDC-013
B827EB0CD40C	CDC-014
B827EBB144DE	CDC-015
B827EBFCDAB8	CDC-016
B827EBCDD89B	CDC-017
B827EB67D0FE	CDC-018
B827EBB31F42	CDC-019
B827EB43A36E	CDC-020
B827EB670DD8	CDC-021
B827EBFE8EC7	CDC-022
B827EB1320DD	CDC-023
B827EB0CB85E	CDC-024
B827EB96C67B	CDC-025
B827EBAEB448	CDC-026
B827EB2B192B	CDC-027
B827EBA33004	CDC-028
B827EBB19EB8	CDC-029
B827EB356625	CDC-030
